他感冒了。	tā gǎnmào le	He caught a cold.
我方坦克突破了敌人的防线.	wǒfāng tǎnkè tūpò le dírén de fángxiàn	Our tanks have breached the enemy defences.
愚蠢的尝试多半是要失败的。	yúchǔn de chángshì duōbàn shì yào shībài de	A feeble attempt is liable to fail.
他娶了一位非常美丽的姑娘。	tā qǔ le yī wèi fēicháng měilì de gūniang	He married a girl of extraordinary beauty.
那个幼儿园里的孩子很多。	nàge yòu'éryuán lǐ de háizi hěn duō	There are many children in the kindergarten.
他们有一些标准纯银餐具。	tāmen yǒuyīxiē biāozhǔn chún yín cānjù	They have some sterling silver cutlery.
村子里的居民知道这件丑事。	cūnzi lǐ de jūmín zhīdào zhè jiàn chǒushì	The villagers knew about the scandal.
她让我吃些药片以利睡眠.	tā ràng wǒ chī xiē yàopiàn yǐ lì shuìmián	She prescribed some pills to help me to sleep.
我会给你一磅作为先付部分。	wǒ huì gěi nǐ yī bàng zuòwéi xiān fù bùfen	I will give you a pound in part payment.
敌人袭击了我们的运货马车队。	dírén xíjī le wǒmen de yùn huò mǎ chēduì	The enemy attacked our wagon train.
这些药丸有镇静催眠作用.	zhèxiē yàowán yǒu zhènjìng cuīmián zuòyòng	These pills will relax you and make you sleep.
这个城镇煤气供应得很好。	zhège chéngzhèn méiqì gōngyìng dehěn hǎo	We are well served with gas in this town.
把绳子绑牢，免得它松脱。	bǎ shéngzi bǎng láo miǎnde tā sōngtuō	Bind the rope fast lest it should come loose.
汽车冲出路面，陷进沟里。	qìchē chōngchū lùmiàn xiàn jìn gōu lǐ	The car careered off the road into a ditch.
我因为喉咙痛没有去上班。	wǒ yīnwèi hóulóng tòng méiyǒu qù shàngbān	I was off work because of a sore throat.
我们开始探索宇宙的奥秘。	wǒmen kāishǐ tànsuǒ yǔzhòu de àomì	We begin to plumb the mysteries of the universe.
有两个镜头被审查员剪掉了.	yǒu liǎng gè jìngtóu bèi shěnchá yuán jiǎndiào le	Two scenes were cut by the censor.
幸亏我当时系上了安全带。	xìngkuī wǒ dāngshí jìshang le ānquándài	Thanks to I had tied then the safety belt.
这个男孩表现出很高的智慧。	zhège nánhái biǎoxiàn chū hěn gāo de zhìhuì	The boy evinces great intelligence.
桃儿容易碰伤--要轻拿轻放.	táo r róngyì pèng shāng yào qīng ná qīng fàng	Don't drop the peaches they bruise easily.
火药易爆炸的混合物，如弹药	huǒyào yì bàozhà de hùnhéwù rú dànyào	An explosive mixture, such as gunpowder.
他们一再发牢骚把他惹火了.	tāmen yīzài fāláosāo bǎ tā rěhuǒ le	He was irritated by their perpetual complaints.
她的眼里流露出受委屈的神情.	tā de yǎn lǐ liúlùchū shòu wěiqu de shénqíng	Her eyes took on a hurt expression.
裹在他伤口上的纱布脏了。	guǒ zài tā shāngkǒu shàng de shābù zāng le	The gauze patch applied to his wound is dirty.
警方已编制了涉嫌者名单.	jǐngfāng yǐ biānzhì le shèxián zhě míngdān	The police have compiled a list of suspects.
老一辈的各类人都在那里.	lǎoyībèi de gèlèi rén dōu zài nàli	Many representatives of the older generation were there.
我们赞赏着壮丽的山景。	wǒmen zànshǎng zhe zhuànglì de shān jǐng	We admired the splendor of the mountain scenery.
暴乱导致3 个年轻人被捕。	bàoluàn dǎozhì gè niánqīngrén bèibǔ	The riot led to the arrest of three young men.
她匆匆忙忙向电报局去了。	tā cōngcōng máng máng xiàng diànbàojú qù le	She went to the telegraph office in a hurry.
他突然在冰上摔了个屁股蹲儿。	tā tūrán zài bīng shàng shuāi le gè pìgudūnr	Suddenly he sat down on the ice.
把你的游泳衣里的水拧出去.	bǎ nǐ de yóuyǒngyī lǐ de shuǐ nǐng chūqù	Wring the water out of your wet bathing costume.
他一到就会来这里汇报的。	tā yī dào jiù huì lái zhèlǐ huìbào de	He will report back here as soon as he arrives.
每一排瓦都搭在下面的一排上.	měiyī pái wǎ dōu dā zàixiàmiàn de yīpái shàng	Each row of tiles laps the one below.
早期的手稿保存下来的不多.	zǎoqī de shǒugǎo bǎocún xiàlai de bù duō	Few of the early manuscripts have been preserved.
她很聪明, 倒也很谦虚.	tā hěn cōngming dǎo yě hěn qiānxū	Though very intelligent, she is nevertheless rather modest.
这窗帘和你那块地毯不相配.	zhè chuānglián hé nǐ nà kuài dìtǎn bù xiāngpèi	These curtains won't match your carpet.
这个词是一种野兽的名称。	zhège cí shì yīzhǒng yěshòu de míngchēng	This word denotes a certain kind of animal.
确定，鉴定对效力的正式断言	quèdìng jiàndìng duì xiàolì de zhèngshì duànyán	A formal assertion of validity.
那条鲸鱼不住地用尾巴击水.	nà tiáo jīngyú bùzhù dì yòng wěiba jī shuǐ	The whale thrashed the water with its tail.
这笔交易完全是一个奇迹。	zhè bǐ jiāoyì wánquán shì yī gè qíjì	This transaction is nothing less than a miracle.
我老婆有一般铁一般的任性脾气。	wǒ lǎopó yǒu yībān tiě yībān de rènxìng píqi	My wife has a whim of iron.
六十岁时, 他开始学俄语。	liùshí suìshí tā kāishǐ xué Éyǔ	At the age of sixty he took up the study of Russian.
我的朋友在威尔士的农场种地。	wǒ de péngyou zài Wēi'ěrshì de nóngchǎng zhòngdì	My friend is farming in Wales.
他尝尝汤, 看是否够咸.	tā cháng cháng tāng kàn shìfǒu gòu xián	He tasted the soup to see if he had put enough salt in it.
病人的情况在夜间恶化了.	bìngrén de qíngkuàng zài yèjiān èhuà le	The patient's condition worsened during the night.
戴着的皇冠是王权的象征。	dài zhe de huángguān shì wángquán de xiàngzhēng	A diadem was worn as sign of royal power.
他的急躁的脾气使他令人讨厌。	tā de jízào de píqi shǐ tā lìngrén tǎoyàn	His hasty temper made him offensive.
香烟在地毯上烧了一个窟窿.	xiāngyān zài dìtǎn shàng shāo le yī gè kūlong	The cigarette burnt a hole in the carpet.
水在阳光下不久就蒸发了。	shuǐ zài yángguāng xià bùjiǔ jiù zhēngfā le	The water soon evaporated in the sunshine.
云是由水蒸汽凝缩而成的。	yún shì yóu shuǐ zhēngqì níngsuō ér chéng de	A cloud is a condensation of water vapour.
装备摄影室的开支很大.	zhuāngbèi shèyǐng shì de kāizhī hěn dà	The equipment of the photographic studio was expensive.
没有人能够阻止他去冒险。	méiyǒu rén nénggòu zǔzhǐ tā qù màoxiǎn	Nobody can prevent him from running the risk.
我想要一些没有酒精的饮料。	wǒ xiǎngyào yīxiē méiyǒu jiǔjīng de yǐnliào	I would like some temperance drinks.
他的陈述促使他们去调查。	tā de chénshù cùshǐ tāmen qù diàochá	His representation influenced them to investigate.
他侵吞了其他人应得的钱。	tā qīntūn le qítā rén yīngdé de qián	He screwed the others out of their share of the money.
他打开了灯，拍松了靠垫。	tā dǎkāi le dēng pāi sōng le kào diàn	He switched on the light and plumped up the cushions.
我宁可死，也不愿忍辱偷生。	wǒ nìngkě sǐ yě bùyuàn rěnrǔtōushēng	I would rather die than live in disgrace.
我晕船, 恨不得立刻上岸.	wǒ yùnchuán hènbude lìkè shàng'àn	I'm no sailor and I couldn't wait to reach dry land.
日子久了, 你的悲哀是会消失的。	rìzi jiǔ le nǐ de bēi'āi shì huì xiāoshī de	Your sorrow will wear off in time.
在公共汽车上要谨防扒手。	zài gōnggòngqìchē shàng yào jǐnfáng páshǒu	Please guard against pickpockets on the bus.
我将在圣诞节前后去拜访你。	wǒ jiāng zài Shèngdànjié qiánhòu qù bàifǎng nǐ	I will visit you around Christmas.
法国一度是占有殖民地的强国.	Fǎguó yīdù shì zhànyǒu zhímíndì de qiángguó	France was once a colonial power.
警察和示威群众混战起来。	jǐngchá hé shìwēi qúnzhòng hùnzhàn qilai	The police scuffled with the demonstrators.
她把窗台漆上鲜艳的颜色。	tā bǎ chuāngtái qī shàng xiānyàn de yánsè	She painted the window sills a bright colour.
撞了个窟窿的油船正在喷油。	zhuàng le gè kūlong de yóuchuán zhèngzài pēn yóu	The holed tanker was disgorging oil.
雇主解雇工人导致了罢工事件。	gùzhǔ jiěgù gōngrén dǎozhì le bàgōng shìjiàn	The dismissals led to a strike.
一群人很快便聚集在他的周围。	yī qún rén hěn kuài biàn jùjí zài tā de zhōuwéi	A crowd soon gathered round him.
他看著自己的孩子, 充满自豪.	tā kàn zhe zìjǐ de háizi chōngmǎn zìháo	He looked at his children with evident pride.
做饭的味道顺着走廊飘过来。	zuòfàn de wèidao shùnzhe zǒuláng piāo guòlái	Cooking smells wafted along the hall.
彼得去年申请了英国国籍。	Bǐdé qùnián shēnqǐng le Yīngguó guójí	Peter applied for British citizenship last year.
那省的大部分地区地势平坦。	nà shěng de dàbùfen dìqū dìshì píngtǎn	Most of the province is as flat as a pancake.
河水冲破堤岸, 淹没了山谷.	héshuǐ chōngpò dī'àn yānmò le shāngǔ	The river had burst its banks and flooded the valley.
她发觉地毯下面有许多尘土.	tā fājué dìtǎn xiàmian yǒu xǔduō chéntǔ	She found a lot of dust underneath the carpet.
截导管这种管子的一部分或一段	jié dǎoguǎn zhèzhǒng guǎnzi de yībùfèn huò yī duàn	A section or piece of such a tube.
他们举起拳头向领袖致敬.	tāmen jǔqǐ quántou xiàng lǐngxiù zhìjìng	They raised their fists in salute to their leader.
再向前展望到本世纪末....	zài xiàngqián zhǎnwàng dào běn shìjìmò	Looking farther forward to the end of the century...
这些柱子支撑著屋顶的重量.	zhèxiē zhùzi zhīchēng zhe wūdǐng de zhòngliàng	These pillars carry the weight of the roof.
这种液体天冷时凝结得快些.	zhèzhǒng yètǐ tiānlěng shí níngjié dé kuài xiē	This liquid gels faster in cold weather.
珠母般的具有珍珠般的光泽的	zhūmǔ bān de jùyǒu zhēnzhū bān de guāngzé de	Having a luster resembling that of pearls.
动物的粪便可以作为肥料使用。	dòngwù de fènbiàn kěyǐ zuòwéi féiliào shǐyòng	Animal dung may be used as manure.
那车在高速公路上飞速行驶。	nà chē zài gāosùgōnglù shàng fēisù xíngshǐ	The car is whizzing along the motorway.
他坐在摇椅里前后摇晃着。	tā zuò zài yáoyǐ lǐ qiánhòu yáohuàng zhe	He rocked back and forth in his rocking chair.
这条峡谷里的景色非常美丽。	zhè tiáo xiágǔ lǐ de jǐngsè fēicháng měilì	The scene is very beautiful in this glen.
本图所示为木材的纵剖面.	běn tú suǒ shì wéi mùcái de zòngpōumiàn	This illustration shows a section through the timber.
他的名字成了残酷无情的别称.	tā de míngzi chéngle cánkùwúqíng de biéchēng	His name has becomea byword for cruelty.
那艺术家的罩衣上沾满了颜料.	nà yìshùjiā de zhàoyī shàng zhānmǎn le yánliào	The artist's smock was covered in paint.
他在很亮的阳光下眯起了眼睛。	tā zài hěn liàng de yángguāng xià mī qǐ le yǎnjing	He squinted in the bright sunlight.
她是位眼光敏锐的艺术评论家.	tā shì wèi yǎnguāng mǐnruì de yìshù pínglùnjiā	She is a very discerning art critic.
他们要制止富人掠夺穷人。	tāmen yào zhìzhǐ fùrén lüèduó qióngrén	They would stop the rich from robbing the poor.
他因阻碍公路交通而受控告。	tā yīn zǔ'ài gōnglù jiāotōng ér shòu kònggào	He was charged obstructing the highway.
他在自己的领域里已经出名了。	tā zài zìjǐ de lǐngyù lǐ yǐjīng chūmíng le	He has become famous in his own field.
她的声音中能听出有些颤抖.	tā de shēngyīn zhōng néng tīng chū yǒuxiē chàndǒu	You could hear the quaver in her voice.
那棵植物开着鲜艳的小紫花。	nà kē zhíwù kāi zhe xiānyàn de xiǎo zǐ huā	The plant has a brilliant purple floweret.
他不顾同事的劝告辞了职.	tā bùgù tóngshì de quàngào cí le zhí	He went against the advice of his colleagues and resigned.
这一时期地主的势力削弱了.	zhè yī shíqī dìzhǔ de shìli xuēruò le	The power of the landowners waned during this period.
镜头慢慢移动拍摄房间全景.	jìngtóu mànmàn yídòng pāishè fángjiān quánjǐng	The shot panned slowly across the room.
我推荐她代表我们出席会议。	wǒ tuījiàn tā dàibiǎo wǒmen chūxí huìyì	I nominate her to present us at the meeting.
那辆摩托车就会要了你的命。	nà liàng mótuōchē jiù huìyào le nǐ de mìng	That motorbike will be the death of you.
这种款式的脚踏车是最新式的。	zhèzhǒng kuǎnshì de jiǎotàchē shì zuìxīn shì de	This type of bicycle is up to date.
所有日报都刊登了这条消息.	suǒyǒu rìbào dōu kāndēng le zhè tiáo xiāoxi	The news was blazed all over the daily papers.
柏枝作为悲哀象征的柏树枝	bǎi zhī zuòwéi bēi'āi xiàngzhēng de bǎi shùzhī	Cypress branches used as a symbol of mourning.
我们正在给房子的外墙涂漆。	wǒmen zhèngzài gěi fángzi de wàiqiáng tú qī	We are painting the exterior wall of the house.
我们必须先测量电线的直径。	wǒmen bìxū xiān cèliáng diànxiàn de zhíjìng	We must gauge the diameter of wire first.
锁锈住了，我们得把门砸开。	suǒ xiù zhù le wǒmen dé bǎmén zá kāi	The lock was rusty, so we had to smash the door open.
水从管道里通畅地流了出来。	shuǐ cóng guǎndào lǐ tōngchàng dì liú le chūlái	A free flow of water came from the pipe.
一大群人聚集起来听他布道.	yī dà qún rén jùjí qilai tīng tā bùdào	A large multitude had assembled to hear him preach.
我觉得这虫子是蝴蝶的幼虫。	wǒ juéde zhè chóngzi shì húdié de yòuchóng	I think this worm is a larva of a butterfly.
超载的装载过多的或负担过重的	chāozài de zhuāngzài guòduō de huò fùdān guòzhòng de	Loaded or burdened too heavily.
步兵黎明时开始进入战斗位置.	bùbīng límíng shí kāishǐ jìnrù zhàndòu wèizhi	The infantry began to deploy at dawn.
保险公司将赔偿他的损失。	bǎoxiǎn gōngsī jiāng péicháng tā de sǔnshī	The insurance company will recompense his loss.
该房供出售并能立即占有。	gāi fáng gōng chūshòu bìng néng lìjí zhànyǒu	The house is for sale with vacant possession.
这危险的事唤起了他的责任感。	zhè wēixiǎn de shì huànqǐ le tā de zérèngǎn	The danger recalled him to a sense of duty.
因为滥用权力，他被开除了。	yīnwèi lànyòngquánlì tā bèi kāi chúle	Because of misuse of power, he was dismissed.
我们赤着脚在海滩上走来走去。	wǒmen chì zhe jiǎo zài hǎitān shàng zǒu lái zǒuqù	We walked around the beach barefoot.
我监督工人把货物装上卡车.	wǒ jiāndū gōngrén bǎ huòwù zhuāng shàng kǎchē	I supervised the workers loading the lorry.
这种植物不容易受病害侵袭。	zhèzhǒng zhíwù bù róngyì shòu bìnghài qīnxí	The plant is not susceptible to disease.
他被绑在一把椅子上, 就那样待著.	tā bèibǎng zài yī bǎ yǐzi shàng jiù nàyàng dài zhe	He was bound to a chair and left.
他的舌头被红辣椒辣得好难受。	tā de shétou bèi hónglàjiāo là dé hǎo nánshòu	He burned his tongue with red pepper.
他对文学领域特别感兴趣。	tā duì wénxué lǐngyù tèbié gǎnxìngqù	His special interest lies in the area of literature.
空气似乎随着亮光而颤动。	kōngqì sìhū suízhe liàngguāng ér chàndòng	The air seemed to pulsate with the bright light.
警惕性是万万不可放松的.	jǐngtìxìng shì wànwàn bùkě fàngsōng de	You cannot afford to relax your vigilance for a moment.
垂直线与水平线在此相交.	chuízhíxiàn yǔ shuǐpíng xiàn zàicǐ xiāngjiāo	The vertical line meets the horizontal one here.
向悲观的人推销保险很容易.	xiàng bēiguān de rén tuīxiāo bǎoxiǎn hěn róngyì	It's easy to sell insurance to a pessimist.
他们把掠夺来的东西装进大车里.	tāmen bǎ lüèduó lái de dōngxi zhuāng jìn dà chē lǐ	They loaded the carts with plunder.
向顶峰攀登时身上都热起来了。	xiàng dǐngfēng pāndēng shí shēnshang dōu rè qilai le	It was a warm climb to the summit.
他要他们加班工作, 真是残酷。	tā yào tāmen jiābān gōngzuò zhēnshi cánkù	He was cruel to make them work overtime.
把水引入一系列灌溉渠中.	bǎ shuǐ yǐnrù yīxìliè guàngàiqú zhōng	Water is channelled through a series of irrigation canals.
我们不顾恶劣的天气而去钓鱼。	wǒmen bùgù èliè de tiānqì ér qù diàoyú	In spite of the bad weather, we went fishing.
报纸称颂了他们的英雄事迹。	bàozhǐ chēngsòng le tāmen de yīngxióng shìjì	The newspapers glorified their heroic deeds.
我删除了这篇文章的一个段落。	wǒ shān chúle zhè piān wénzhāng de yī gè duànluò	I cut out the paragraph in this article.
她竭力争取自己想要的东西。	tā jiélì zhēngqǔ zìjǐ xiǎngyào de dōngxi	She fought like a tiger to get what she wanted.
从军舰上向飞机发射导弹.	cóng jūnjiàn shàng xiàng fēijī fāshè dǎodàn	The missiles were shot at the aircraft from a ship.
我虽然很喜欢她，却不打算娶她。	wǒ suīrán hěn xǐhuan tā què bù dǎsuàn qǔ tā	Much as I like her, I won't marry her.
绝望之下，我向攻击者哀求。	juéwàng zhīxià wǒ xiàng gōngjī zhě āiqiú	In desperation I pleaded with the attackers.
他们要求示威者和平解散.	tāmen yāoqiú shìwēizhě hépíng jiěsàn	They called for the peaceful dispersal of the demonstrators.
他的患病给我们的计划带来灾难。	tā de huànbìng gěi wǒmen de jìhuà dàilái zāinàn	His illness was fatal to our plan.
去年癌症夺走了他姐姐的生命。	qùnián áizhèng duózǒu le tā jiějie de shēngmìng	Cancer carried his sister off last year.
警方监视著他常去的酒吧.	jǐngfāng jiānshì zhe tā cháng qù de jiǔbā	The police watched the bars which he was known to resort.
真奇怪，她竟然会如此粗暴无礼。	zhēn qíguài tā jìngrán huì rúcǐ cūbào wúlǐ	It's strange for her to be so rude.
该剧经删去两场而缩短了.	gāi jù jīng shānqù liǎng chǎng ér suōduǎn le	The play was shortened by the omission of two scenes.
他们投机购买谷物是不合法的。	tāmen tóujī gòumǎi gǔwù shì bùhéfǎ de	Their speculative buying of grain is illegal.
在动物园我看见了两只小骆驼。	zài dòngwùyuán wǒ kànjiàn le liǎng zhǐ xiǎo luòtuo	I saw two small camels in the zoo.
她的合伙人企图骗走她的股份。	tā de héhuǒrén qǐtú piàn zǒu tā de gǔfèn	Her partner tried to trick her out of her share.
营地的生活条件甚为原始.	yíngdì de shēnghuó tiáojiàn shènwéi yuánshǐ	Living conditions in the camp were pretty primitive.
她出于虚荣心而嫁给了那个富人。	tā chūyú xūróngxīn ér jià gěi le nàge fùrén	She married the rich man out of vanity.
收缩物收缩的事物，尤指肌肉	shōusuō wù shōusuō de shìwù yóuzhǐ jīròu	Something, especially a muscle, that contracts.
全城沉浸在节日的气氛中。	quánchéng chénjìn zài jiérì de qìfēn zhōng	The whole city was immersed in a festival atmosphere.
这个印刷错误造成很大的混淆。	zhège yìnshuā cuòwù zàochéng hěn dà de hùnxiáo	This misprint led to great confusion.
猪肉炼出的油可用来煎炸食物.	zhūròu liàn chū de yóu kě yònglái jiānzhá shíwù	The grease from pork can be used for frying.
有些金属容易焊，有的不容易焊。	yǒuxiē jīnshǔ róngyì hàn yǒude bù róngyì hàn	Some metals weld better than others.
有些人宁可熬夜，而不早睡。	yǒuxiērén nìngkě áoyè ér bù zǎo shuì	Some people prefer sitting up to going to bed early.
做纵横字谜游戏能锻炼脑筋.	zuò zònghéngzìmí yóuxì néng duànliàn nǎojīn	Doing crosswords gives the mind some exercise.
他哈哈大笑以遮掩紧张的心情.	tā hāhādàxiào yǐ zhēyǎn jǐnzhāng de xīnqíng	He laughed to cover (ie hide) his nervousness.
这个饭店要到七月中旬才营业。	zhège fàndiàn yào dào Qīyuè zhōngxún cái yíngyè	The hotel is closed until mid- July.
英国和中国签署了贸易协定.	Yīngguó hé Zhōngguó qiānshǔ le màoyìxiédìng	Britain concluded a trade agreement with China.
现在只有出现奇迹她才能得救。	xiànzài zhǐyǒu chūxiàn qíjì tā cáinéng déjiù	Nothing but a miracle can save her now.
他精通世界上的神秘宗教。	tā jīngtōng shìjiè shàng de shénmì zōngjiào	He is an expert on the world's mystical religions.
他因品质高尚而被人怀念。	tā yīn pǐnzhì gāoshàng ér bèi rén huáiniàn	He is remembered for the nobility of his character.
这次爆炸把那个旧烟囱给炸倒了.	zhè cì bàozhà bǎ nàge jiù yāncōng gěi zhá dǎo le	The explosion toppled the old chimney.
我们班向学校赠送了一幅画。	wǒmen bān xiàng xuéxiào zèngsòng le yī fú huà	Our class presented the school with a picture.
她的勤奋为其他人树立了榜样。	tā de qínfèn wéi qítā rén shùlì le bǎngyàng	Her diligence has set an example to the others.
一旦下了决心，他就毫不动摇。	yīdàn xià le juéxīn tā jiù háobù dòngyáo	Once he's made up his mind, he never budges.
人们可以从寓言里吸取经验教训。	rénmen kěyǐ cóng yùyán lǐ xīqǔ jīngyàn jiàoxun	People can draw a moral from tales.
她听到这一悲惨消息, 脸都白了.	tā tīngdào zhè yī bēicǎn xiāoxi liǎn dōu bái le	She listened to the tragic news ashen-faced.
这所房屋已处于荒废的状态。	zhè suǒ fángwū yǐ chǔyú huāngfèi de zhuàngtài	The house has fallen into a state of neglect.
他们已经开始防止犯罪行为。	tāmen yǐjīng kāishǐ fángzhǐ fànzuìxíngwéi	They have begun to do the prevention of crime.
我一走近她的办公桌，她就瞪我。	wǒ yī zǒu jìn tā de bàngōng zhuō tā jiù dèng wǒ	She glares at me if I go near her desk.
这份手稿只有专家才看得懂.	zhè fèn shǒugǎo zhǐyǒu zhuānjiā cái kàn dé dǒng	The manuscript requires an expert to understand it.
第一乐章以缓慢的主旋律开始.	dìyī yuèzhāng yǐ huǎnmàn de zhǔxuánlǜ kāishǐ	A slow theme introduces the first movement.
圣诞礼物都用薄纸裹起来了.	Shèngdàn lǐwù dōu yòng báozhǐ guǒ qilai le	The Christmas presents were wrapped (up) in tissue paper.
候选人在辩论中唇枪舌箭。	hòuxuǎnrén zài biànlùn zhōng chún qiāng shé jiàn	The candidates exchanged shafts in the debate.
警察大批出动，以制止骚乱。	jǐngchá dàpī chūdòng yǐ zhìzhǐ sāoluàn	The police were out in force to stop any trouble.
他驾驶考试合格使大家很惊奇.	tā jiàshǐ kǎoshì hégé shǐ dàjiā hěn jīngqí	He amazed everyone by passing his driving test.
该计划的妙处在于简洁明了。	gāi jìhuà de miàochù zàiyú jiǎnjié míngliǎo	The beauty of the plan consists in its simplicity.
他是当代医学奇迹的活证明.	tā shì dāngdài yīxué qíjì de huó zhèngmíng	He is living proof of the wonders of modern medicine.
新汽车是全家人引以自豪之物.	xīn qìchē shì quán jiārén yǐn yǐ zìháo zhī wù	The new car was the pride of the whole family.
裁缝给我量做新西装的尺寸。	cáiféng gěi wǒ liáng zuò xīn xīzhuāng de chǐcun	The tailor took my measurements for a new suit.
不久，解放军就把他们歼灭了。	bùjiǔ Jiěfàngjūn jiù bǎ tāmen jiānmiè le	Soon the Liberation Army knocked them out.
有人发现她趴在小屋的地板上.	yǒurén fāxiàn tā pā zài xiǎowū de dìbǎn shàng	She was found prostrate on the floor of the cell.
罢工者与雇主已达成协议。	bàgōng zhě yǔ gùzhǔ yǐ dáchéngxiéyì	The strikers have reached a settlement with the employers.
他依法应得的遗产被人骗走了.	tā yīfǎ yīngdé de yíchǎn bèi rén piàn zǒu le	He was cheated (out) of his rightful inheritance.
这孩子害怕那条外表凶恶的狗。	zhè háizi hàipà nà tiáo wàibiǎo xiōng'è de gǒu	The child was scared of the fierce looking dog.
我喜欢在周末做些剧烈运动。	wǒ xǐhuan zài zhōumò zuò xiē jùliè yùndòng	I like to take some energetic exercise at weekend.
宪法授予总统宣战权。	xiànfǎ shòuyǔ zǒngtǒng xuānzhàn quán	The constitution vests the president with the power to declare war.
会议遭示威者干扰而结束.	huìyì zāo shìwēizhě gānrǎo ér jiéshù	The meeting was closed after the demonstrators interrupted it.
他们想看看我们的彩色幻灯片.	tāmen xiǎng kànkan wǒmen de cǎisè huàndēngpiàn	They want us to show some of our colour slides.
我们必须抹去对那次失败的记忆。	wǒmen bìxū mǒqù duì nà cì shībài de jìyì	We have to extinguish the memory of the defeat.
无疑，她早早晚晚会抛弃你的。	wúyí tā zǎo zǎowǎn wǎnhuì pāoqì nǐ de	Sure enough, she'll let you down sooner or later.
最强壮的人未必活得最久。	zuì qiángzhuàng de rén wèibì huó dé zuì jiǔ	The strongest man does not necessarily live the longest.
村庄在水坝决堤时被冲走了。	cūnzhuāng zài shuǐbà juédī shí bèi chōngzǒu le	The village was swept away when the dam burst.
梳麻针排用来分开亚麻纤维的梳子	shū má zhēn pái yònglái fēnkāi yàmá xiānwéi de shūzi	A comb for separating flax fibers.
我们接近她时, 她就挥棒乱打.	wǒmen jiējìn tā shí tā jiù huī bàng luàn dǎ	As we approached her, she laid about her with a stick.
为了完成报告我打算熬夜不睡。	wèile wánchéng bàogào wǒ dǎsuàn áoyè bù shuì	I am going to stay up late to finish my paper.
这张钞票是假的, 那张是真的.	zhè zhāng chāopiào shì jiǎde nà zhāng shì zhēn de	This note is counterfeit, but that one's good.
地震对这个城市造成了大破坏。	dìzhèn duì zhège chéngshì zàochéng le dà pòhuài	The earthquake wreaked havoc on the city.
她兼做导师工作和研究工作.	tā jiān zuò dǎoshī gōngzuò hé yánjiū gōngzuò	Her work was divided between tutoring and research.
你可以在银行开立一个活期帐户。	nǐ kěyǐ zài yínháng kāilì yī gè huóqīzhànghù	You may open a current account at a bank.
我一想到他就忍不住颤抖。	wǒ yī xiǎngdào tā jiù rěnbuzhù chàndǒu	I could not repress a shiver whenever I thought of him.
他从巴黎给我寄来几张明信片。	tā cóng Bālí gěi wǒ jì lái jǐ zhāng míngxìnpiàn	He sent me some postal cards from Paris.
由于大旱四个月，水库干枯了。	yóuyú dà hàn sì gè yuè shuǐkù gānkū le	The reservoir dried up during the four-month drought.
小偷乘没人注意时溜了出去.	xiǎotōu chéng méi rén zhùyì shí liū le chūqù	The thief slid out (of the door) while no one was looking.
我们在海滩上野餐，趣味无穷。	wǒmen zài hǎitān shàng yěcān qùwèi wúqióng	We had a lot of fun at the picnic on the beach.
水池周围的树上悬挂著灯笼.	shuǐchí zhōuwéi de shù shàng xuánguà zhe dēnglóng	Lanterns were strung in the trees around the pool.
暴风雨猛烈地吹过陆地和海面。	bàofēngyǔ měngliè dì chuī guò lùdì hé hǎimiàn	The storm blew fiercely over land and sea.
应该承认他的论据中有逻辑性.	yīnggāi chéngrèn tā de lùnjù zhōng yǒu luóji xìng	You have to accept the logic of his argument.
那个顽固老头就是不肯进医院.	nàge wángù lǎotóu jiùshì bù kěn jìn yīyuàn	The obstinate old man refused to go to hospital.
你不可因一个人贫穷而轻视他。	nǐ bùkě yīn yīgèrén pínqióng ér qīngshì tā	You must not despise a man because he is poor.
我们只是在昨天才与她偶然相遇.	wǒmen zhǐshì zài zuótiān cái yǔ tā ǒurán xiāngyù	We met her only yesterday, as it happens.
元旦那天他们都感到宿醉头痛。	Yuándàn nàtiān tāmen dōu gǎndào sùzuì tóutòng	On New Year's Day they were all hung over.
汽车的挡风玻璃在夜间结了霜.	qìchē de dǎngfēngbōli zài yèjiān jiéle shuāng	The car windscreen frosted over during the night.
这个画廊是中世纪艺术的宝库。	zhège huàláng shì zhōngshìjì yìshù de bǎokù	The gallery is a treasure trove of medieval art.
摇滚乐声震屋宇，从客厅传来。	yáogǔnyuè shēng zhèn wū yǔ cóng kètīng chuánlái	Rock music blasted full from the parlor.
我从来没听过像这样的长篇废话.	wǒ cóngláiméi tīng guò xiàng zhèyàng de chángpiān fèihuà	I've never heard such a rigmarole.
该政权是靠外国援助维持著的.	gāi zhèngquán shì kào wàiguó yuánzhù wéichí zhe de	The regime had been propped up by foreign aid.
新生的婴儿唤起了她女性的特性.	xīnshēng de yīng'ér huànqǐ le tā nǚxìng de tèxìng	Newborn babies bring out the woman in her.
我用沾满油污的碎布擦我的自行车.	wǒ yòng zhānmǎn yóuwū de suì bù cā wǒ de zìxíngchē	I use an oily rag to clean my bike with.
固定物牢固地安放在一个地方的东西	wǒ yòng zhānmǎn yóuwū de suì bù cā wǒ de zìxíngchē	Something securely fixed in place.
我得听他那些没完没了的牢骚.	wǒ dé tīng tā nàxiē méiwánméiliǎo de láosāo	I had to listen to a long recital of all his complaints.
